index,u,v
0,0.532613,0.350006
1,0.586234,0.317422
2,0.490693,0.335736
3,0.513579,0.411443
4,0.494752,0.396499
5,0.542894,0.426765
6,0.474402,0.407413
7,0.535770,0.332330
8,0.562147,0.424239
9,0.563463,0.519799
10,0.543866,0.506120
11,0.553474,0.419735
12,0.498629,0.396241
13,0.588282,0.418225
14,0.612734,0.335080
15,0.587586,0.403806
16,0.556903,0.491136
17,0.479956,0.479942
18,0.472967,0.502769
19,0.475336,0.414998
20,0.549533,0.430223
21,0.534681,0.533898
22,0.448644,0.517156
23,0.432192,0.415979
24,0.442358,0.426892
25,0.483263,0.514816
26,0.523283,0.449950
27,0.451966,0.501743
28,0.524442,0.544853
29,0.462425,0.505878
30,0.491876,0.425977
31,0.513884,0.345756
32,0.483785,0.408957
33,0.545073,0.393641
34,0.509751,0.337304
35,0.448905,0.405803
36,0.506856,0.374967
37,0.436856,0.344110
38,0.452296,0.300755
39,0.488801,0.348946
40,0.471905,0.425485
41,0.480527,0.520025
42,0.564732,0.492932
43,0.578749,0.394717
44,0.542522,0.323316
45,0.463284,0.355628
46,0.508934,0.373893
47,0.466284,0.364189
48,0.525868,0.385527
49,0.452837,0.435700
50,0.470870,0.372953
51,0.511253,0.440799
52,0.493037,0.416367
53,0.543579,0.495452
54,0.478995,0.530587
55,0.546261,0.462207
56,0.519190,0.442195
57,0.476533,0.429762
58,0.538924,0.480784
59,0.460679,0.494766
60,0.463722,0.396540
61,0.517094,0.370365
62,0.452402,0.411360
63,0.505907,0.339191
64,0.574575,0.388529
65,0.489493,0.417429
66,0.451655,0.496530
67,0.427402,0.410629
68,0.459867,0.418094
69,0.456399,0.507368
70,0.504132,0.521723
71,0.496255,0.429067
72,0.458219,0.423237
73,0.511816,0.411332
74,0.509393,0.400223
75,0.515096,0.493725
76,0.578900,0.462693
77,0.586375,0.363011
78,0.534203,0.337270
79,0.548452,0.415238
80,0.521274,0.490717
81,0.528232,0.473183
82,0.513491,0.379944
83,0.527005,0.422455
84,0.502778,0.385032
85,0.444683,0.419255
86,0.415907,0.331313
87,0.501282,0.323063
88,0.563437,0.390798
89,0.533982,0.464124
90,0.557088,0.415556
91,0.549215,0.506434
92,0.453473,0.499386
93,0.434201,0.406720
94,0.436745,0.452563
95,0.461563,0.502295
96,0.425274,0.418302
97,0.442976,0.327784
98,0.507282,0.270988
