index,u,v
0,0.520097,0.322680
1,0.531260,0.421521
2,0.527233,0.450965
3,0.644060,0.498477
4,0.665238,0.599104
5,0.562838,0.549902
6,0.527637,0.459501
7,0.537513,0.481950
8,0.490735,0.405330
9,0.559222,0.437839
10,0.504600,0.467286
11,0.528883,0.377388
12,0.586194,0.443408
13,0.523705,0.473059
14,0.544497,0.346197
15,0.570164,0.349405
16,0.620128,0.447067
17,0.563533,0.501262
18,0.615808,0.567127
19,0.544697,0.637574
20,0.484699,0.540807
21,0.506651,0.452606
22,0.556884,0.390232
23,0.483416,0.463883
24,0.493518,0.497739
25,0.503940,0.575674
26,0.552875,0.672435
27,0.615863,0.614558
28,0.527136,0.562341
29,0.565208,0.671686
30,0.647176,0.608515
31,0.588470,0.512551
32,0.549924,0.599778
33,0.612378,0.644733
34,0.648805,0.547358
35,0.598954,0.441721
36,0.552294,0.421795
37,0.505119,0.521438
38,0.512165,0.489153
39,0.485954,0.523385
40,0.516287,0.464885
41,0.586521,0.466254
42,0.631527,0.587874
43,0.618366,0.568310
44,0.504933,0.561936
45,0.491587,0.497480
46,0.478545,0.395184
47,0.578421,0.405428
48,0.546644,0.512119
49,0.528922,0.600126
50,0.618552,0.637635
51,0.628908,0.567661
52,0.531214,0.591463
53,0.598444,0.602495
54,0.489495,0.539077
55,0.540707,0.492733
56,0.642270,0.449731
57,0.631911,0.517960
58,0.608415,0.614683
59,0.533206,0.625139
60,0.552003,0.523176
61,0.569712,0.591743
62,0.564156,0.682345
63,0.657942,0.609073
64,0.640155,0.495859
65,0.665773,0.496960
66,0.602512,0.566988
67,0.482596,0.553236
68,0.464652,0.463238
69,0.481720,0.347281
70,0.581891,0.335447
71,0.578177,0.433096
72,0.537942,0.551641
73,0.600918,0.652174
74,0.524297,0.655309
75,0.531208,0.550117
76,0.616708,0.500681
77,0.548810,0.541413
78,0.638116,0.625250
79,0.543457,0.610803
80,0.538912,0.522163
81,0.622985,0.443149
82,0.581705,0.330807
83,0.483040,0.360117
84,0.492698,0.462073
85,0.569709,0.517058
86,0.674465,0.488201
87,0.613408,0.389082
88,0.563033,0.311231
89,0.478459,0.375440
90,0.501636,0.467789
91,0.611768,0.507055
92,0.655306,0.445019
93,0.617129,0.437946
94,0.674662,0.509129
95,0.661128,0.556678
96,0.628847,0.438957
97,0.661564,0.343923
98,0.565916,0.319624
